isbn,title,author_id,publisher_id,publication_year,publication_month
9784798070285,Node.js 超入門[第4版],019a95ef-8f4d-7891-b890-4a628269691b,019a95f5-d68e-7f45-ba5b-e6d80bd4157e,2023,7
9874877834272,やさしい Kotlin 入門,019a95ef-8f4d-70c5-8ff7-5ca31296a756,019a95f5-d68e-7131-878f-1818beacb1d3,2018,5
9784287118594,Kotlin サーバーサイドプログラミング実践開発,019a95ef-8f4d-7128-a2ff-e79f9c633129,019a95f5-d68e-73aa-aa7f-463d72faba8f,2021,4
9784297140618,実践 Next.js ―App Router で進化する Web アプリ開発,019a95ef-8f4d-73be-a848-90e68ae3fd08,019a95f5-d68e-73aa-aa7f-463d72faba8f,2024,3
9784295018469,スッキリわかる SQL 入門 第4版 ドリル256問付き!,019a95ef-8f4d-732d-8425-a2582f912601,019a95f5-d68e-7d2f-a3f3-920f2b20d938,2024,2
9784815624316,新しい Linux の教科書,019a95ef-8f4d-7a8f-96b0-180a088c93b7,019a95f5-d68e-761f-8dad-b4c7f36f7a18,2015,6
9784274233838,たのしいプログラミング Python ではじめよう!,019a95ef-8f4d-736f-b3fa-7203bcc85076,019a95f5-d68e-725b-8a39-11d3feeae7ad,2014,2
9784822292270,独学プログラマー Python 言語の基本から仕事のやり方まで,019a95ef-8f4d-722c-ad3c-4b9c4c1b5d64,019a95f5-d68e-7a6f-95a1-956f9c2a9563,2018,2
9784798067759,新わかりやすい Java 入門編 第3版,019a95ef-8f4d-71ec-b476-364d52fd2fc1,019a95f5-d68e-7f45-ba5b-e6d80bd4157e,2022,12
9784815618599,体験しながら学ぶ ネットワーク技術入門,019a95ef-8f4d-7f59-956a-58cb76f809fe,019a95f5-d68e-761f-8dad-b4c7f36f7a18,2024,1